"tag_id","tag_name"
509,"history"
1659,"drama"
1691,"adventure"
1743,"drama"
4605,"biography"
6750,"history"
6857,"family"
6888,"family"
6953,"family"
7404,"drama"
7457,"drama"
7563,"drama"
8055,"drama"
8067,"romance"
8517,"drama"
10059,"sci-fi"
10064,"sci-fi"
10731,"fantasy"
11305,"fantasy"
11743,"drama"
11865,"romance"
13446,"horror"
14017,"adventure"
14467,"history"
14487,"history"
14552,"history"
16203,"romance"
17213,"adventure"
18367,"drama"
19733,"history"
20774,"drama"
20939,"history"
21024,"fantasy"
21387,"romance"
21529,"romance"
21689,"drama"
21773,"drama"
22034,"adventure"
22973,"thriller"
23471,"history"
23743,"action"
23831,"history"
25438,"drama"
26138,"romance"
26735,"sci-fi"
26740,"family"
26771,"sci-fi"
26785,"sci-fi"
26837,"sci-fi"
27199,"adventure"
29076,"thriller"
29452,"family"
30358,"mystery"
30464,"sci-fi"
31155,"adventure"
31745,"fantasy"
32130,"action"
33114,"action"
